name,stars
Kong/kong,42033
docker/awesome-compose,42007
streamlit/streamlit,41921
Stability-AI/stablediffusion,41895
ChrisTitusTech/winutil,41774
ziglang/zig,41770
mem0ai/mem0,41684
mingrammer/diagrams,41653
apachecn/ailearning,41611
github/spec-kit,41586
yarnpkg/yarn,41546
apache/dubbo,41531
nolimits4web/swiper,41507
zhongyang219/TrafficMonitor,41462
nwjs/nw.js,41396
hpcaitech/ColossalAI,41206
dcloudio/uni-app,41186
bailicangdu/vue2-elm,41172
zai-org/ChatGLM-6B,41145
cli/cli,41141
psf/black,41081
gedoor/legado,41063
styled-components/styled-components,40968
mitmproxy/mitmproxy,40948
hexojs/hexo,40942
penpot/penpot,40893
slidevjs/slidev,40807
vuetifyjs/vuetify,40771
bannedbook/fanqiang,40738
upscayl/upscayl,40713
helix-editor/helix,40627
fastlane/fastlane,40603
dylanaraps/pure-bash-bible,40559
lukasz-madon/awesome-remote-job,40534
deepspeedai/DeepSpeed,40494
colinhacks/zod,40456
chubin/cheat.sh,40350
gradio-app/gradio,40309
tabler/tabler,40237
anthropics/claude-code,40220
sharkdp/fd,40206
LC044/WeChatMsg,40080
bradtraversy/50projects50days,39961
files-community/Files,39894
chakra-ui/chakra-ui,39869
byoungd/English-level-up-tips,39774
jgm/pandoc,39766
QSCTech/zju-icicles,39671
wg/wrk,39647
curl/curl,39641
crewAIInc/crewAI,39606
google-research/bert,39596
php/php-src,39553
makeplane/plane,39527
zhayujie/chatgpt-on-wechat,39484
ray-project/ray,39482
DIYgod/RSSHub,39452
ccxt/ccxt,39413
remoteintech/remote-jobs,39395
evanw/esbuild,39383
tmux/tmux,39358
floodsung/Deep-Learning-Papers-Reading-Roadmap,39345
cloudcommunity/Free-Certifications,39254
pingcap/tidb,39210
videojs/video.js,39199
lm-sys/FastChat,39183
vim/vim,39156
Dogfalo/materialize,39129
saadeghi/daisyui,39125
hiroi-sora/Umi-OCR,39075
logseq/logseq,39062
go-gorm/gorm,39027
aria2/aria2,39023
trpc/trpc,38749
suno-ai/bark,38632
photoprism/photoprism,38625
siyuan-note/siyuan,38623
google/styleguide,38621
fastapi/full-stack-fastapi-template,38552
